COD_ASIGNATURA,BLOQUE,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,OFERTA,COD_CARRERA,OPERACIÓN
CCW114,A,,3-5,,,,,0800,
CCW114,B,,7-9,,,,,0800,
CCW267,A,,,,,1-3,,0800,
CE3419,B,,,1-3,,,,0800,E
CE4264,A,,,8-10,,,,0800,E
CI2511,A,3-4,3-4,3-4,,,,0800,
CI2525,A,7-8,7-8,7-8,,,,0800,
CI2526,A,5-6,,5-6,3-4,,,0800,
CI2527,A,7-8,7-8,7-8,,,,0800,
CI2611,A,3-4,,3-4,,,,0800,
CI2612,A,3-4,,3-4,,,,0800,
CI2613,A,3-4,,3-4,,,,0800,
CI2691,A,,3-5,,,,,0800,
CI2692,A,,,,7-9,,,0800,
CI2693,A,,,,3-5,,,0800,
CI3311,A,,3-4,,3-4,,,0800,
CI3391,A,,,6-8,,,,0800,
CI3641,A,,3-4,,3-4,,,0800,
CI3661,A,,,,,1-3,,0800,
CI3815,A,1-2,,1-2,,1-3,,0800,
CI3825,A,7-9,1-2,,1-2,,,0800,
CI4325,A,,1-2,9-11,1-2,,,0800,
CI4712,A,7-8,3-4,7-8,,,,0800,
CI4721,A,,3-4,1-3,3-4,,,0800,
CI4835,A,1-2,,1-2,9-11,,,0800,
CI5313,A,3-4,,3-4,9-10,,,0800,
CI5321,A,9-10,9-10,9-10,,,,0800,
CI5437,A,5-6,7-8,,7-8,,,0800,
CI5832,A,9-10,1-2,9-10,,,,0800,
CSW627,A,,1-3,,,,,0800,
CSW627,B,,4-6,,,,,0800,
EP1308,A,,,,,,,0800,
EP2308,A,,,,,,,0800,
EP3308,A,,,,,,,0800,
EP3420,A,,,,,,,0800,
EP4793,A,,,,,,,0800,
EP5408,A,,,,,,,0800,
EP5855,A,,,,,,,0800,
EP5856,A,,,,,,,0800,
ID1212,D,,5-6,,5-6,,,0800,E
ID1212,E,,7-8,,7-8,,,0800,E
ID2512,B,3-4,,3-4,,,,0800,E
ID3511,B,5-6,,5-6,,,,0800,E
TS1113,A,,,,,,,0800,E
TS2712,A,,,,,,,0800,E
CE3114,A,3-4,,,4,,,0800,
CE3114,B,5-6,,,6,,,0800,
CE3114,C,,,8-10,,,,0800,
CE3122,A,,2-4,,,,,0800,I
CE3419,A,1-3,,,,,,0800,
CE3422,A,,3-5,,,,,0800,
CO3121,A,,1-2,,1-2,5-6,,0800,
CO3121,B,3-4,,3-4,,5-6,,0800,
CO3321,A,3-4,,3-4,,5-6,,0800,
CO3321,B,5-6,,5-6,,7-8,,0800,
CO3411,A,7-8,,7-8,5-7,,,0800,
CO5212,A,,5-6,,5-6,,,0800,
CO5213,A,5-6,,5-6,,,,0800,I
CO5412,A,3-4,,3-4,,,,0800,
CO6531,A,,3-4,,3-4,,,0800,I
CO6612,A,,5-6,,5-6,,,0800,I
ID1212,A,3-4,,3-4,,,,0800,M
ID1212,B,5-6,,5-6,,,,0800,I
ID1212,C,,3-4,,3-4,,,0800,
ID1312,A,3-4,,3-4,,,,0800,M
ID1312,B,5-6,,5-6,,,,0800,M
ID1412,A,3-4,,3-4,,,,0800,M
ID1512,A,,3-4,,3-4,,,0800,I
ID1512,B,,5-6,,5-6,,,0800,I
ID1912,A,5-6,,5-6,,,,0800,M
ID2212,A,,5-6,,5-6,,,0800,I
ID2312,A,3-4,,3-4,,,,0800,M
ID2412,A,5-6,,5-6,,,,0800,I
ID2512,A,5-6,,5-6,,,,0800,I
MA2115,A,1-2,,1-2,,1-2,,0800,
MA2115,B,3-4,,3-4,,3-4,,0800,
MA2115,C,7-8,,7-8,,7-8,,0800,
MA2112,A,1-2,,1-2,,1-2,,0800,
MA2112,B,3-4,,3-4,3-4,,,0800,
MA2112,C,7-8,7-8,7-8,,,,0800,
PB5611,A,,,,,,,0800,M
PB5671,A,,,,,,,0800,M
PS1111,A,,5-6,,5-6,,,0800,
PS4112,A,7-8,,7-8,,,,0800,
PS6116,A,,5-6,,5-6,6-8,,0800,
PS6117,A,,3-4,,3-4,2-4,,0800,M
PS6170,A,11-13,,,,,,0800,I
PS6170,A,11-13,,,,,,0800,I
